Order ID,Order Date,Order_Day_Name,Order_Month_Name,Order_Year,Customer Name,City,State,Region,Category,Sub Category,Sales,Discount,Profit
OD3324,2023-01-03,Tuesday,January,2023,Jackson,Salem,Tamil Nadu,Central,Bakery,Breads & Buns,864.0,0.26,380.16
OD740,2023-01-04,Wednesday,January,2023,Haseena,Nagercoil,Tamil Nadu,Central,Bakery,Cakes,2033.0,0.15,325.28
OD741,2023-01-04,Wednesday,January,2023,Vinne,Trichy,Tamil Nadu,Central,Beverages,Health Drinks,698.0,0.32,223.36
OD742,2023-01-04,Wednesday,January,2023,Sudha,Dharmapuri,Tamil Nadu,Central,Snacks,Chocolates,759.0,0.27,174.57
OD3873,2023-01-05,Thursday,January,2023,Verma,Tirunelveli,Tamil Nadu,East,"Eggs, Meat & Fish",Fish,878.0,0.35,149.26
OD3014,2023-01-06,Friday,January,2023,Sundar,Coimbatore,Tamil Nadu,West,Oil & Masala,Masalas,2259.0,0.35,112.95
OD6373,2023-01-06,Friday,January,2023,Sharon,Tirunelveli,Tamil Nadu,South,Food Grains,Atta & Flour,1243.0,0.31,385.33
OD8635,2023-01-06,Friday,January,2023,Hussain,Pudukottai,Tamil Nadu,South,Snacks,Cookies,1504.0,0.23,616.64
OD9387,2023-01-06,Friday,January,2023,Akash,Chennai,Tamil Nadu,South,Snacks,Noodles,1495.0,0.19,194.35
OD9393,2023-01-06,Friday,January,2023,Sudha,Tenkasi,Tamil Nadu,South,Oil & Masala,Masalas,1113.0,0.31,144.69
OD9396,2023-01-06,Friday,January,2023,Hussain,Chennai,Tamil Nadu,South,Fruits & Veggies,Organic Vegetables,2201.0,0.19,352.16
OD9418,2023-01-06,Friday,January,2023,Vince,Karur,Tamil Nadu,South,Snacks,Noodles,2157.0,0.18,258.84
OD9916,2023-01-06,Friday,January,2023,Muneer,Dindigul,Tamil Nadu,South,Oil & Masala,Edible Oil & Ghee,796.0,0.33,143.28
